sujet;Genre;QAB;QAE_0;QAE_1;QAE_2
1;H;0;1;6;5
2;F;0;3;4;7
3;H;0;4;3;7
4;F;1;4;5;7
5;H;1;4;7;8
6;F;1;3;5;11
7;H;2;0;7;9
8;F;2;2;9;6
9;H;2;4;8;7
10;F;0;5;3;9
11;H;0;0;4;6
12;F;0;3;5;8
13;H;1;2;4;8
14;F;1;2;6;10
15;H;1;1;7;6
16;F;2;2;6;9
17;H;2;2;4;10
18;F;2;3;5;9
19;H;0;4;6;7
20;F;0;3;4;7
21;H;0;3;5;7
22;F;1;1;6;9
23;H;1;1;6;9
24;F;1;4;7;8
25;H;2;5;5;8
26;F;2;4;7;10
27;H;2;4;6;6
28;F;0;3;7;7
29;H;0;2;3;9
30;F;0;2;7;6
31;H;1;1;4;9
32;F;1;3;4;10
33;H;1;4;7;9
34;F;2;4;6;7
35;H;2;3;7;8
36;F;2;2;7;11
37;H;0;3;7;9
38;F;0;4;5;8
39;H;0;0;4;8
40;F;1;4;6;8
41;H;1;4;8;8
42;F;1;1;6;9
43;H;2;4;4;7
44;F;2;5;5;6
45;H;2;3;5;8
46;F;0;3;4;8
47;H;0;2;5;10
48;F;0;0;6;12
49;H;1;4;7;9
50;F;1;4;8;9
51;H;1;0;5;9
52;F;2;0;4;11
53;H;2;4;6;6
54;F;2;2;4;7
55;H;0;3;7;9
56;F;0;1;6;8
57;H;0;6;4;7
58;F;1;4;2;8
59;H;1;3;6;9
60;F;1;2;4;10
61;H;2;2;4;8
62;F;2;5;4;7
63;H;2;4;5;9
64;F;0;1;5;7
65;H;0;4;4;7
66;F;0;3;7;9
67;H;1;1;6;11
68;F;1;4;7;7
69;H;1;3;7;10
70;F;2;3;5;8
71;H;2;2;7;8
72;F;2;2;5;10
73;H;0;3;4;9
74;F;0;2;1;9
75;H;0;3;5;8
76;F;1;1;9;8
77;H;1;5;5;8
78;F;1;1;6;10
79;H;2;3;3;8
80;F;2;4;5;8
81;H;2;2;6;8
82;F;0;5;5;10
83;H;0;5;6;9
84;F;0;1;2;9
85;H;1;3;9;8
86;F;1;2;5;7
87;H;1;3;3;7
88;F;2;4;4;9
89;H;2;1;6;11
90;F;2;2;5;8
91;H;0;2;6;11
92;F;0;3;4;9
93;H;0;3;3;8
94;F;1;1;6;7
95;H;1;1;5;6
96;F;1;3;8;11
97;H;2;2;6;8
98;F;2;1;6;9
99;H;2;4;4;10
100;F;0;5;5;8
101;H;0;4;1;10
102;F;0;2;6;8
103;H;1;0;6;9
104;F;1;1;6;11
105;H;1;3;5;8
106;F;2;4;5;8
107;H;2;3;5;11
108;F;2;3;8;7
109;H;0;2;4;9
110;F;0;6;5;9
111;H;0;3;3;8
112;F;1;3;4;10
113;H;1;3;7;10
114;F;1;3;8;8
115;H;2;2;6;7
116;F;2;2;5;9
117;H;2;3;5;9
118;F;0;0;5;9
119;H;0;3;5;10
120;F;0;3;6;9
121;H;1;0;4;7
122;F;1;4;4;9
123;H;1;0;5;12
124;F;2;4;6;9
125;H;2;3;6;10
126;F;2;4;7;8
127;H;0;4;7;9
128;F;0;3;4;9
129;H;0;1;3;7
130;F;1;5;5;10
131;H;1;3;6;12
132;F;1;2;7;8
133;H;2;2;3;10
134;F;2;5;4;9
135;H;2;1;4;8
136;F;0;3;6;8
137;H;0;2;6;8
138;F;0;4;6;8
139;H;1;4;4;9
140;F;1;2;7;9
141;H;1;3;3;8
142;F;2;3;5;8
143;H;2;3;5;9
144;F;2;4;4;10
145;H;0;1;5;9
146;F;0;5;5;7
147;H;0;5;7;7
148;F;1;3;6;7
149;H;1;0;5;10
150;F;1;3;5;9
151;H;2;5;6;9
152;F;2;2;4;8
153;H;2;0;7;11
154;F;0;4;5;7
155;H;0;2;7;9
156;F;0;2;6;9
157;H;1;1;3;8
158;F;1;3;5;8
159;H;1;4;6;11
160;F;2;3;7;11
161;H;2;1;7;12
162;F;2;3;5;10
163;H;0;4;7;9
164;F;0;4;6;11
165;H;0;1;5;10